date,city,temperature_c,humidity_pct,wind_speed_kmh,pm25,pm10,no2,co,aqi,air_quality_label
2024-01-06,Mumbai,32.5,72,20.5,22.5,44.2,16.8,0.4,58,Moderate
2024-01-06,Bangalore,26.2,48,22.8,8.5,20.2,6.2,0.2,28,Good
2024-01-06,Chennai,34.5,68,17.2,18.5,36.5,13.5,0.4,48,Good
2024-01-06,Kolkata,24.5,68,14.2,72.4,102.5,38.5,1.0,112,Unhealthy for Sensitive
2024-01-07,Delhi,24.8,50,22.1,45.2,72.4,25.8,0.8,85,Moderate
2024-01-07,Mumbai,33.2,70,22.8,18.2,36.5,13.2,0.3,48,Good
2024-01-07,Bangalore,27.5,45,25.2,6.2,15.8,4.8,0.1,22,Good
2024-01-07,Chennai,35.8,65,19.5,15.2,30.2,11.2,0.3,42,Good
2024-01-07,Kolkata,26.2,65,17.5,55.8,82.4,30.5,0.8,95,Moderate
2024-01-08,Delhi,12.5,78,5.5,225.4,268.5,105.2,2.6,268,Hazardous
2024-01-08,Mumbai,26.5,88,8.5,55.2,88.4,38.5,0.9,108,Unhealthy for Sensitive
2024-01-08,Bangalore,19.8,68,10.5,35.4,62.4,22.5,0.5,78,Moderate
2024-01-08,Chennai,28.5,82,8.2,42.5,75.2,28.8,0.7,88,Moderate
2024-01-08,Kolkata,15.8,85,4.5,185.4,225.8,90.2,2.2,232,Hazardous
2024-01-09,Delhi,11.2,82,4.2,245.8,288.5,115.4,2.8,290,Hazardous
2024-01-09,Mumbai,25.8,90,7.5,62.5,98.5,42.5,1.0,118,Unhealthy for Sensitive
2024-01-09,Bangalore,18.5,72,9.2,42.5,72.4,26.5,0.6,88,Moderate
2024-01-09,Chennai,27.8,85,7.5,48.5,82.5,32.5,0.8,98,Moderate
2024-01-09,Kolkata,14.5,88,3.8,205.4,248.5,98.5,2.4,252,Hazardous
2024-01-10,Delhi,13.8,76,6.8,202.5,245.2,96.4,2.4,248,Hazardous
2024-01-10,Mumbai,27.2,86,10.2,50.5,84.5,36.2,0.9,102,Unhealthy for Sensitive
2024-01-10,Bangalore,20.5,65,12.5,30.2,55.4,19.8,0.5,72,Moderate
2024-01-10,Chennai,29.2,80,9.5,38.5,68.5,26.2,0.7,82,Moderate
2024-01-10,Kolkata,16.5,84,5.2,172.5,212.4,84.5,2.1,220,Hazardous
2024-02-01,Delhi,18.5,65,12.5,95.2,132.4,48.5,1.2,138,Unhealthy
2024-02-01,Mumbai,30.2,75,16.5,32.4,58.5,22.5,0.6,75,Moderate
2024-02-01,Bangalore,25.8,55,18.5,18.2,36.5,12.5,0.3,48,Good
2024-02-01,Chennai,32.5,72,14.5,25.8,48.5,18.2,0.5,62,Moderate
2024-02-01,Kolkata,20.5,70,10.5,82.5,115.4,40.5,1.0,122,Unhealthy for Sensitive
2024-02-15,Delhi,22.5,58,15.8,75.4,108.5,38.5,1.0,115,Unhealthy for Sensitive
2024-02-15,Mumbai,31.8,72,18.2,28.5,52.4,20.2,0.5,68,Moderate
2024-02-15,Bangalore,27.5,50,20.8,14.5,30.2,10.2,0.3,38,Good
2024-02-15,Chennai,34.2,68,16.8,22.4,42.5,16.5,0.4,55,Good
2024-02-15,Kolkata,24.8,66,13.5,65.8,95.4,35.5,0.9,108,Unhealthy for Sensitive
2024-03-01,Delhi,26.5,52,18.5,58.5,88.4,32.5,0.9,98,Moderate
2024-03-01,Mumbai,33.5,68,20.5,25.4,48.5,18.5,0.5,62,Moderate
2024-03-01,Bangalore,29.5,45,23.5,11.2,24.5,8.2,0.2,32,Good
2024-03-01,Chennai,36.5,65,18.5,18.5,36.5,13.8,0.4,48,Good
2024-03-01,Kolkata,28.5,62,16.5,52.5,78.5,30.5,0.8,92,Moderate
2024-04-01,Delhi,32.5,45,22.5,42.5,68.5,25.5,0.7,82,Moderate
2024-04-01,Mumbai,36.5,62,24.5,20.2,40.5,15.8,0.4,52,Good
2024-04-01,Bangalore,32.5,40,26.5,8.5,18.5,6.5,0.2,25,Good
2024-04-01,Chennai,38.5,58,20.5,15.5,30.5,12.2,0.3,42,Good
2024-04-01,Kolkata,33.5,55,18.5,38.5,62.5,25.5,0.7,78,Moderate
2024-05-01,Delhi,38.5,38,25.5,35.8,58.5,22.5,0.6,72,Moderate
2024-05-01,Mumbai,38.8,72,28.5,18.5,36.5,14.5,0.4,48,Good
2024-05-01,Bangalore,34.5,42,28.5,7.2,16.5,5.8,0.2,22,Good
2024-05-01,Chennai,40.5,65,22.5,14.2,28.5,11.5,0.3,38,Good
2024-05-01,Kolkata,38.5,62,20.5,32.5,55.5,22.5,0.6,68,Moderate
2024-06-01,Delhi,35.5,65,20.5,28.5,50.5,20.5,0.6,65,Moderate
2024-06-01,Mumbai,32.5,88,15.5,15.5,30.5,12.5,0.3,42,Good
2024-06-01,Bangalore,25.5,78,18.5,10.5,22.5,8.5,0.2,30,Good
2024-06-01,Chennai,35.5,82,18.5,12.5,25.5,10.5,0.3,35,Good
2024-06-01,Kolkata,32.5,85,15.5,25.5,45.5,20.5,0.5,62,Moderate
2024-07-01,Delhi,32.5,78,18.5,22.5,42.5,18.5,0.5,58,Moderate
2024-07-01,Mumbai,29.5,92,12.5,12.5,25.5,10.5,0.3,35,Good
2024-07-01,Bangalore,22.5,85,15.5,8.5,18.5,7.2,0.2,25,Good
2024-07-01,Chennai,32.5,88,15.5,10.5,22.5,9.5,0.2,30,Good
2024-07-01,Kolkata,30.5,90,12.5,20.5,38.5,17.5,0.4,52,Good
2024-08-01,Delhi,31.5,80,17.5,25.5,46.5,20.5,0.6,62,Moderate
2024-08-01,Mumbai,29.5,90,13.5,13.5,27.5,11.5,0.3,38,Good
2024-08-01,Bangalore,23.5,82,16.5,9.5,20.5,7.8,0.2,28,Good
2024-08-01,Chennai,31.5,86,16.5,11.5,23.5,9.8,0.3,32,Good
2024-08-01,Kolkata,30.5,88,13.5,22.5,42.5,18.5,0.5,58,Moderate
2024-09-01,Delhi,28.5,72,15.5,45.5,72.5,28.5,0.8,88,Moderate
2024-09-01,Mumbai,30.5,82,16.5,20.5,40.5,16.5,0.4,52,Good
2024-09-01,Bangalore,24.5,68,18.5,13.5,28.5,10.5,0.3,38,Good
2024-09-01,Chennai,32.5,78,16.5,17.5,34.5,14.5,0.4,45,Good
2024-09-01,Kolkata,28.5,80,14.5,38.5,65.5,27.5,0.7,82,Moderate
2024-10-01,Delhi,22.5,65,10.5,88.5,122.5,45.5,1.1,132,Unhealthy
2024-10-01,Mumbai,30.5,75,14.5,28.5,52.5,21.5,0.6,68,Moderate
2024-10-01,Bangalore,24.5,60,16.5,18.5,38.5,13.5,0.3,48,Good
2024-10-01,Chennai,31.5,72,14.5,24.5,46.5,18.5,0.5,60,Moderate
2024-10-01,Kolkata,24.5,70,9.5,72.5,105.5,38.5,1.0,112,Unhealthy for Sensitive
2024-11-01,Delhi,16.5,72,7.5,155.5,195.5,76.5,1.9,202,Unhealthy
2024-11-01,Mumbai,28.5,80,11.5,38.5,68.5,28.5,0.7,82,Moderate
2024-11-01,Bangalore,21.5,65,13.5,25.5,50.5,18.5,0.5,62,Moderate
2024-11-01,Chennai,30.5,76,12.5,32.5,60.5,24.5,0.6,75,Moderate
2024-11-01,Kolkata,18.5,78,6.5,128.5,168.5,64.5,1.6,175,Unhealthy
2024-12-01,Delhi,12.5,78,5.5,215.5,258.5,102.5,2.5,258,Hazardous
2024-12-01,Mumbai,26.5,84,9.5,48.5,82.5,35.5,0.9,98,Moderate
2024-12-01,Bangalore,19.5,70,11.5,32.5,58.5,22.5,0.5,75,Moderate
2024-12-01,Chennai,28.5,80,9.5,40.5,72.5,28.5,0.7,85,Moderate
2024-12-01,Kolkata,14.5,86,4.5,178.5,218.5,88.5,2.2,225,Hazardous
2024-12-15,Delhi,10.5,82,4.2,238.5,282.5,112.5,2.7,280,Hazardous
2024-12-15,Mumbai,25.5,86,8.5,55.5,90.5,40.5,1.0,108,Unhealthy for Sensitive
2024-12-15,Bangalore,18.5,74,10.5,38.5,65.5,25.5,0.6,82,Moderate
2024-12-15,Chennai,27.5,82,8.5,45.5,78.5,30.5,0.8,92,Moderate
2024-12-15,Kolkata,12.5,90,3.5,198.5,242.5,96.5,2.4,245,Hazardous
